,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
0,Mohamed Salah,Liverpool,36.0,2954.0,32,10,35.3,5.9,0.77,0.25,1.02
1,Harry Kane,Tottenham,37.0,3094.0,30,2,28.52,7.96,0.78,0.11,0.89
2,Sergio Agüero,Manchester City,25.0,1985.0,21,6,23.71,7.51,0.84,0.3,1.14
3,Jamie Vardy,Leicester,37.0,3269.0,20,1,15.58,1.98,0.42,0.1,0.52
4,Raheem Sterling,Manchester City,33.0,2594.0,18,11,33.66,12.15,0.65,0.31,0.96
5,Romelu Lukaku,Manchester United,34.0,2869.0,16,7,24.64,7.16,0.49,0.17,0.66
6,Roberto Firmino,Liverpool,37.0,2814.0,15,7,27.84,12.63,0.34,0.25,0.59
7,Alexandre Lacazette,Arsenal,32.0,2235.0,14,4,20.9,6.23,0.56,0.19,0.75
8,Gabriel Jesus,Manchester City,29.0,1692.0,13,3,20.56,6.51,0.82,0.12,0.94
9,Son Heung-Min,Tottenham,37.0,2315.0,12,6,22.62,6.26,0.43,0.26,0.68
10,Eden Hazard,Chelsea,34.0,2451.0,12,4,19.69,9.29,0.3,0.27,0.57
11,Riyad Mahrez,Leicester,36.0,2977.0,12,10,15.86,6.47,0.2,0.23,0.43
12,Glenn Murray,Brighton,35.0,2204.0,12,0,8.48,1.66,0.51,0.05,0.56
13,Marko Arnautovic,West Ham,31.0,2343.0,11,6,13.04,2.69,0.38,0.17,0.55
14,Álvaro Morata,Chelsea,31.0,2069.0,11,6,17.91,2.95,0.6,0.16,0.76
15,Pierre-Emerick Aubameyang,Arsenal,13.0,1056.0,10,4,10.67,2.37,0.78,0.11,0.89
16,Leroy Sané,Manchester City,32.0,2421.0,10,15,19.68,11.9,0.23,0.34,0.57
17,Wayne Rooney,Everton,31.0,2301.0,10,2,8.37,4.47,0.35,0.09,0.44
18,Christian Eriksen,Tottenham,37.0,3239.0,10,10,27.01,15.51,0.2,0.33,0.53
