,Player,Team,Apps,Min,G,A,xGChain,xGBuildup,xG90,xA90,xG90 + xA90
0,Harry Kane,Tottenham,30.0,2556.0,29,7,21.95,4.13,0.7,0.2,0.89
1,Romelu Lukaku,Everton,37.0,3271.0,25,6,21.25,3.97,0.46,0.15,0.61
2,Alexis Sánchez,Arsenal,38.0,3233.0,24,10,27.14,9.09,0.49,0.25,0.74
3,Sergio Agüero,Manchester City,31.0,2408.0,20,3,25.35,5.03,0.85,0.17,1.02
4,Diego Costa,Chelsea,35.0,3101.0,20,7,22.0,6.57,0.45,0.14,0.59
5,Dele Alli,Tottenham,37.0,3060.0,18,7,25.15,8.97,0.43,0.13,0.57
6,Zlatan Ibrahimovic,Manchester United,28.0,2435.0,17,5,20.06,6.22,0.54,0.19,0.73
7,Joshua King,Bournemouth,36.0,2734.0,16,2,12.56,3.41,0.36,0.08,0.44
8,Eden Hazard,Chelsea,36.0,3050.0,16,5,20.61,9.11,0.33,0.19,0.52
9,Christian Benteke,Crystal Palace,36.0,3153.0,15,2,13.2,4.11,0.5,0.06,0.55
10,Jermain Defoe,Sunderland,37.0,3324.0,15,2,11.51,2.29,0.37,0.04,0.41
11,Fernando Llorente,Swansea,33.0,2462.0,15,1,8.6,2.96,0.29,0.08,0.37
12,Son Heung-Min,Tottenham,34.0,2069.0,14,6,14.95,4.28,0.34,0.2,0.54
13,Philippe Coutinho,Liverpool,31.0,2265.0,13,7,18.21,8.19,0.35,0.25,0.6
14,Jamie Vardy,Leicester,35.0,2822.0,13,5,14.12,2.79,0.32,0.15,0.47
15,Sadio Mané,Liverpool,27.0,2257.0,13,5,20.19,9.53,0.38,0.18,0.56
16,Olivier Giroud,Arsenal,29.0,1170.0,12,3,9.58,1.82,0.54,0.15,0.69
17,Roberto Firmino,Liverpool,35.0,3077.0,11,7,24.93,11.65,0.3,0.23,0.53
18,Theo Walcott,Arsenal,28.0,1944.0,10,2,11.12,2.42,0.46,0.12,0.58
19,Troy Deeney,Watford,37.0,2940.0,10,4,9.32,2.08,0.26,0.1,0.36
20,Sam Vokes,Burnley,37.0,2030.0,10,3,7.93,1.69,0.37,0.07,0.44
21,Michail Antonio,West Ham,29.0,2451.0,9,3,13.23,3.04,0.36,0.12,0.48
22,Pedro,Chelsea,35.0,2178.0,9,9,16.25,6.78,0.25,0.23,0.48
23,Gylfi Sigurdsson,Swansea,38.0,3329.0,9,13,10.75,3.83,0.23,0.22,0.46
24,Andre Gray,Burnley,32.0,2279.0,9,3,7.82,2.11,0.3,0.06,0.36
25,Álvaro Negredo,Middlesbrough,36.0,2891.0,9,4,11.96,2.79,0.27,0.13,0.4
26,Adam Lallana,Liverpool,31.0,2371.0,8,7,16.63,10.08,0.17,0.16,0.33
27,Mesut Özil,Arsenal,33.0,2856.0,8,9,22.84,14.73,0.18,0.25,0.43
28,Manuel Lanzini,West Ham,35.0,2727.0,8,2,13.38,8.29,0.2,0.13,0.33
29,Christian Eriksen,Tottenham,36.0,3181.0,8,15,22.94,10.89,0.25,0.33,0.58
30,Willian,Chelsea,34.0,1509.0,8,2,9.14,4.57,0.22,0.18,0.41
31,Salomón Rondón,West Bromwich Albion,38.0,2902.0,8,2,13.4,2.58,0.29,0.09,0.38
32,Junior Stanislas,Bournemouth,21.0,1489.0,7,5,7.38,4.27,0.29,0.23,0.53
33,Divock Origi,Liverpool,34.0,1450.0,7,3,7.65,1.97,0.34,0.1,0.44
34,James Milner,Liverpool,36.0,3170.0,7,3,14.36,12.46,0.21,0.11,0.32
