,name,age,position1,position2,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
0,Harry Kane Tottenham,28, AM(C), AM(C),35,3087,23,14,3.9,1.4,1.5,1.7,0.4,1.5,1.8,7.79
1,Kevin De Bruyne Man City,30, M(CLR), M(CLR),23(2),2001,6,12,3.2,3.2,1.9,1.2,0,1.3,1.8,7.65
2,Jack Grealish Aston Villa,26, AM(CL),,24(2),2184,6,10,1.9,3.1,2.5,4.2,0.3,1.5,2.1,7.56
3,Bruno Fernandes Man Utd,27, M(CLR),,35(2),3110,18,12,3.3,2.6,0.6,1.4,0.1,1.0,1.5,7.43
4,Tomas Soucek West Ham,26, DMC,,38,3420,10,1,1.7,0.5,0.4,1.1,0.1,0.6,1.1,7.36
5,Mason Mount Chelsea,22, M(CLR),,32(4),2892,6,5,2.3,2.4,1.2,1.2,0.1,1.1,1.6,7.33
6,Sadio Mané Liverpool,29, AM(CLR), AM(CLR),31(4),2813,11,7,2.7,1.7,2.3,2.2,0.9,1.7,2.9,7.33
7,Riyad Mahrez Man City,30, AM(CLR), AM(CLR),23(4),1955,9,6,2.1,1.6,1.7,1.1,0.3,1.1,1.7,7.31
8,João Cancelo Man City,27, D(LR), D(LR),27(1),2302,2,3,1.3,1.6,1.7,0.6,0.1,0.8,1.3,7.31
9,Gareth Bale Tottenham,32, M(CLR), M(CLR),10(10),923,11,2,1.9,1.1,1.4,0.5,0.3,0.4,0.9,7.3
10,Ilkay Gündogan Man City,31, M(C),,23(5),2031,13,2,1.9,1.5,1.0,0.9,0,0.5,1.1,7.29
11,Son Heung-Min Tottenham,29, M(CLR), M(CLR),36(1),3127,17,10,1.8,2.0,1.1,1.5,0.4,1.4,1.6,7.27
12,Wilfred Ndidi Leicester,25, DMC,,25(1),2179,1,4,0.6,0.6,0.6,0.6,0,0.5,1.0,7.25
13,Raphinha Leeds,25, AM(LR), AM(LR),26(4),2364,6,9,2.2,2.1,1.9,1.0,0.5,1.1,2.8,7.22
14,Raheem Sterling Man City,27, M(CLR), M(CLR),28(3),2537,10,7,2.3,1.3,2.1,1.3,0.3,2.7,2.0,7.22
15,James Rodríguez Everton,30, AM(CLR), AM(CLR),21(2),1776,6,4,1.6,1.7,1.5,1.7,0.3,1.7,1.4,7.21
16,Ollie Watkins Aston Villa,25, AM(LR), AM(LR),37,3329,14,5,2.6,1.2,1.1,1.3,0.8,2.3,3.1,7.18
17,Rodri Man City,25, DMC,,31(3),2749,2,2,0.9,1.0,0.8,0.9,0.1,0.6,0.7,7.17
18,Michail Antonio West Ham,31, D(R), D(R),24(2),1984,10,5,2.4,1.0,1.7,1.5,0.6,1.9,3.0,7.17
19,Dominic Calvert-Lewin Everton,24, AM(L), AM(L),32(1),2876,16,0,2.5,0.5,0.7,1.2,0.5,0.9,3.1,7.17
20,Aaron Wan-Bissaka Man Utd,24, D(R), D(R),34,3060,2,4,0.2,0.9,1.0,0.4,0,0.6,1.0,7.15
21,Phil Foden Man City,21, AM(CLR), AM(CLR),17(11),1614,9,5,1.6,1.3,1.4,1.2,0.1,0.5,1.7,7.14
22,Marcus Rashford Man Utd,24, AM(CLR), AM(CLR),33(4),2928,11,9,2.1,1.2,2.2,1.1,0.7,1.4,2.1,7.13
23,Thiago Liverpool,30, M(C),,20(4),1858,1,0,0.9,1.3,1.4,1.0,0,0.8,1.0,7.12
24,Allan Saint-Maximin Newcastle,24, AM(CLR), AM(CLR),19(6),1568,3,4,1.2,1.2,3.8,1.8,0.2,2.1,2.2,7.12
25,Gabriel Jesus Man City,24, AM(LR), AM(LR),22(7),2060,9,4,1.9,1.1,1.7,1.6,0.6,1.3,2.0,7.11
26,Pedro Neto Wolves,21, AM(CLR), AM(CLR),30(1),2559,5,6,2.0,2.0,2.1,1.4,0.1,1.3,2.5,7.11
27,Adama Traoré Wolves,25, M(CLR), M(CLR),28(9),2645,2,2,1.2,1.5,4.1,2.3,0.2,1.8,3.0,7.11
28,Roberto Firmino Liverpool,30, M(CLR), M(CLR),33(3),2852,9,7,2.3,1.2,1.6,0.4,0.1,1.3,2.2,7.11
29,Jamie Vardy Leicester,34, AM(L), AM(L),31(3),2846,15,9,2.4,0.8,0.8,0.7,1.1,0.4,1.7,7.11
30,Youri Tielemans Leicester,24, M(C),,37(1),3358,6,4,1.3,1.3,1.1,1.4,0,0.9,1.1,7.09
